Gender,Attendance Rate (%),Course Engagement (%),Previous Academic Performance (%),Study Hours,Extracurricular,Mother Qualification,Father Qualification,Health Issues,Disciplinary Actions,Learning Disabilities,Socioeconomic Status,Risk
0,86,54,30,8,0,2,0,1,1,1,1,0
1,76,71,89,8,1,0,2,0,1,1,0,0
1,81,52,37,5,0,2,0,0,0,1,2,0
1,99,82,94,10,0,2,0,0,0,0,0,1
1,77,76,31,3,0,2,1,0,1,0,0,1
0,66,51,30,8,1,2,0,1,1,0,0,1
0,69,47,38,1,0,0,0,1,1,1,2,1
0,50,54,92,3,1,2,1,1,0,0,2,0
0,86,77,30,1,0,0,1,1,1,1,1,0
1,69,34,50,1,1,2,2,1,1,1,2,0
1,63,72,88,14,1,1,0,1,0,1,2,0
0,61,95,31,17,1,1,1,0,1,1,1,1
0,57,67,57,14,0,0,2,1,1,1,2,1
0,82,74,96,10,0,2,2,1,1,0,1,1
1,83,36,80,18,1,1,2,0,0,1,2,1
1,76,51,61,13,0,0,0,0,0,0,1,1
0,51,56,61,14,1,2,0,0,1,0,0,0
1,97,87,72,12,1,0,2,1,0,0,0,0
1,87,32,71,6,0,1,0,1,1,0,2,0
1,57,91,98,1,0,0,1,1,0,1,2,0
1,56,30,30,7,0,0,1,0,0,0,0,1
0,64,75,52,17,0,2,1,0,1,1,1,1
0,55,31,85,11,0,1,1,0,0,1,2,1
0,70,52,75,7,0,2,0,0,0,1,2,1
1,82,41,90,13,0,2,0,1,1,0,0,1
0,52,70,74,11,0,2,1,0,1,1,2,0
1,81,97,74,14,1,0,2,1,0,0,1,1
1,93,80,50,14,0,1,2,0,0,0,2,0
1,54,84,68,4,1,1,1,1,1,1,1,0
0,51,39,85,19,1,0,0,1,1,1,1,1
0,67,49,53,14,0,1,0,1,1,1,2,0
0,50,94,54,14,1,2,0,0,0,1,0,0
1,52,65,88,18,0,2,2,1,0,1,0,1
0,54,41,73,14,0,1,2,0,0,0,1,0
1,73,50,35,16,1,1,1,0,1,0,2,1
0,90,67,41,9,0,1,1,1,1,1,0,0
1,52,61,53,18,1,1,2,1,0,1,1,1
1,94,82,81,4,1,1,1,1,1,1,1,0
0,91,99,48,9,1,1,2,1,0,1,1,1
0,99,97,89,14,1,2,0,1,0,0,0,0
1,97,83,87,5,1,2,1,0,1,1,2,0
1,93,46,54,1,0,0,2,1,0,1,2,1
0,85,41,82,4,1,0,2,0,1,0,0,1
0,82,80,33,11,1,1,1,0,1,1,1,1
1,89,94,34,5,0,1,2,1,0,0,0,1
1,77,92,42,12,1,1,0,1,0,1,0,1
1,84,81,76,6,0,2,2,0,1,1,2,0
1,65,48,49,18,1,1,1,1,1,0,1,0
0,68,63,82,5,0,1,1,0,1,0,0,0
1,91,80,81,14,0,1,2,0,1,0,0,1
1,62,51,69,5,0,1,0,0,1,0,2,0
1,89,31,54,1,0,0,0,0,0,1,1,1
1,73,61,69,5,0,2,0,1,1,1,2,0
0,95,62,55,18,0,1,2,1,1,0,0,0
1,57,71,94,18,0,0,0,1,1,0,1,1
1,79,64,81,6,0,1,0,1,1,1,1,1
0,57,87,34,14,1,1,1,1,1,0,2,0
1,77,55,39,15,1,0,0,0,1,0,1,1
1,99,73,85,11,0,0,2,0,0,1,1,0
1,53,48,53,18,1,0,1,1,0,0,2,1
0,92,41,41,17,0,2,0,0,1,1,2,0
0,78,31,77,3,1,1,2,0,1,0,0,0
1,71,55,82,7,1,0,0,1,1,0,0,0
0,54,65,82,16,1,1,2,1,0,0,1,0
1,74,99,36,18,1,1,0,1,1,1,2,1
1,94,36,70,12,0,1,1,0,1,0,1,1
0,63,63,33,7,1,1,1,0,0,1,2,0
0,95,31,53,5,1,2,1,0,1,1,0,1
0,78,97,78,15,0,0,1,1,1,1,0,1
1,76,54,77,17,0,1,1,1,0,1,1,0
1,69,95,98,5,0,2,0,1,0,1,0,0
1,91,71,60,11,0,0,0,1,1,1,0,0
0,91,50,30,16,1,2,0,1,0,0,0,0
0,50,79,65,17,0,2,1,0,1,1,0,1
1,81,32,74,1,0,2,1,1,0,0,0,0
1,58,35,44,16,0,1,2,0,1,1,0,0
1,82,40,79,16,1,2,0,1,0,1,2,1
1,59,47,50,14,0,2,2,0,0,0,2,0
0,60,75,49,19,1,1,1,0,1,0,1,1
1,70,85,94,15,0,1,1,0,1,0,2,0
0,62,77,40,2,1,2,1,1,1,1,1,1
1,97,39,47,14,0,0,0,0,0,0,0,1
0,59,54,41,5,1,1,0,0,0,0,2,0
0,67,46,96,4,1,2,0,1,0,1,2,0
0,55,98,62,14,0,0,1,0,1,1,0,1
0,94,74,81,18,0,1,1,0,0,0,2,1
0,85,88,37,10,1,2,0,1,0,1,2,1
1,67,52,31,18,0,2,0,1,1,1,1,0
1,87,52,88,3,0,0,2,1,0,1,0,0
1,64,72,36,19,1,0,1,0,0,1,2,1
0,51,89,48,14,1,0,0,1,0,0,0,0
0,68,98,47,19,1,1,1,0,0,1,0,1
1,87,80,48,9,1,1,0,1,0,0,0,0
0,61,79,57,15,1,1,1,0,0,1,1,0
1,82,65,95,10,0,1,0,0,1,1,2,1
1,86,98,84,19,0,1,1,1,1,1,2,0
1,83,86,75,12,0,0,2,1,0,1,1,1
1,71,40,80,18,1,1,2,0,0,0,1,0
1,60,94,77,9,1,0,0,1,1,0,2,0
0,75,50,96,10,1,1,0,0,0,1,1,1
1,79,88,90,13,0,1,2,0,0,0,1,0
0,96,97,96,14,1,2,0,1,0,1,0,1
1,96,50,42,16,0,1,0,0,1,0,0,0
1,50,71,47,10,0,2,2,1,0,0,0,0
0,76,87,41,17,0,0,0,1,0,1,2,1
0,70,75,35,19,0,2,2,0,0,0,2,0
0,59,60,73,19,1,0,0,1,0,0,1,1
0,64,45,45,18,0,0,1,0,0,1,1,1
1,91,41,74,15,0,0,2,0,0,0,1,1
0,98,59,40,13,1,1,0,0,1,0,2,1
1,97,62,96,14,1,0,0,1,0,0,1,1
0,59,52,53,1,0,1,2,1,0,0,2,1
1,93,47,58,2,1,2,0,0,0,0,1,0
1,77,86,47,2,1,0,1,1,1,0,1,0
1,63,33,38,9,1,0,1,0,0,1,2,0
1,71,56,98,2,1,2,2,1,1,0,2,1
0,83,62,61,1,0,1,1,1,0,0,1,0
1,56,99,84,18,0,1,0,0,0,0,0,0
0,94,53,50,2,1,0,1,0,1,0,0,0
1,90,49,72,5,0,2,1,0,0,1,0,1
1,69,43,69,13,0,2,1,1,1,1,2,0
0,92,42,64,8,0,2,1,0,1,1,1,1
0,81,35,73,19,1,2,1,1,1,1,2,0
1,61,35,68,1,0,0,0,0,1,1,2,0
1,64,61,79,8,0,0,1,0,0,1,1,0
0,86,62,38,14,1,2,1,0,1,1,0,0
1,50,79,55,14,1,1,1,1,1,1,0,0
1,99,44,97,14,0,0,2,0,1,0,2,0
0,51,41,51,19,1,0,0,0,0,1,1,1
0,92,72,67,1,0,2,0,0,1,1,0,0
0,70,38,42,13,1,2,2,1,1,1,2,1
1,64,78,73,19,1,1,2,0,1,0,1,1
0,59,48,89,7,0,1,1,0,1,0,2,0
1,86,86,82,4,1,0,2,0,0,1,2,0
1,75,91,96,8,0,2,0,0,1,0,1,1
1,78,95,77,19,0,2,2,1,1,1,2,1
1,92,81,31,1,0,0,1,1,1,0,0,1
0,86,96,55,16,0,2,1,1,0,1,0,1
0,57,82,47,15,1,0,0,1,0,1,2,1
1,89,37,79,5,1,2,0,1,1,1,1,0
1,61,97,57,19,1,2,1,1,0,0,1,0
1,93,99,95,17,1,1,1,1,0,0,1,0
0,63,50,51,9,0,0,0,1,1,0,1,1
0,94,49,30,10,1,1,1,0,1,1,0,0
0,88,39,54,19,1,0,2,0,0,0,2,1
1,86,98,79,15,0,1,1,0,1,0,1,0
1,63,61,83,15,0,2,1,1,0,1,1,0
1,72,49,56,15,1,0,2,1,1,0,0,1
0,55,66,82,16,0,2,0,1,1,0,0,1
0,81,35,55,17,0,2,1,0,1,1,2,0
1,56,69,66,11,0,2,0,0,1,1,0,1
0,86,73,60,11,1,0,2,0,1,1,1,0
0,71,56,91,6,0,0,1,1,0,0,0,1
0,85,82,81,3,0,2,0,1,1,1,0,0
1,50,69,81,17,0,1,1,1,1,1,0,1
0,59,48,99,5,0,0,2,0,0,0,0,1
1,63,57,69,10,1,0,2,1,1,0,0,0
1,98,33,64,13,0,1,0,1,0,1,0,1
0,90,31,95,6,1,2,2,0,1,1,0,0
1,51,53,59,9,0,2,2,0,0,1,0,1
0,74,96,98,19,1,0,2,0,1,0,1,1
1,80,62,53,4,0,0,1,1,0,1,2,0
1,75,39,73,14,0,0,1,0,1,0,2,0
1,60,51,73,19,0,0,2,1,1,1,2,0
0,55,39,45,8,0,2,0,1,0,1,0,1
1,94,43,45,15,1,1,2,0,0,1,1,1
1,63,40,58,9,1,1,2,0,0,1,2,0
1,76,47,71,7,1,1,2,0,0,1,0,1
0,76,40,87,17,1,0,0,0,1,1,0,0
1,52,48,72,6,0,2,1,0,1,1,1,1
0,80,71,38,15,1,0,0,1,0,0,0,0
0,53,77,46,10,0,0,0,0,1,0,1,0
0,82,57,94,11,0,0,0,0,0,1,0,1
0,72,69,62,1,1,0,0,1,1,0,0,0
1,88,97,99,11,1,2,2,0,1,0,0,0
1,89,33,30,15,1,0,1,0,0,1,2,1
1,79,87,61,15,0,1,0,1,0,0,0,1
0,85,68,95,11,1,2,0,0,1,0,1,1
0,89,72,96,12,1,1,0,1,0,1,1,1
1,87,33,77,4,0,0,2,1,0,1,2,1
1,89,80,56,5,1,0,2,0,1,0,0,1
0,89,84,68,15,1,1,0,0,0,1,2,0
0,66,50,43,19,0,2,1,0,0,1,1,1
0,87,35,86,7,0,0,2,0,0,1,2,1
1,65,79,94,8,0,0,0,0,0,1,2,0
1,84,56,59,9,1,1,1,1,0,0,1,0
1,59,51,56,2,0,1,0,1,1,1,1,0
0,88,39,44,13,0,0,0,0,0,0,0,0
0,79,82,46,14,1,1,0,0,1,0,2,0
0,91,77,85,3,0,0,0,0,1,0,2,1
1,53,50,63,3,0,0,2,0,1,0,0,1
1,67,80,88,15,0,0,2,0,0,1,0,1
1,88,49,43,18,0,2,1,1,1,1,1,0
1,98,39,47,9,1,1,2,1,0,1,2,0
0,93,65,34,4,0,0,1,1,0,0,1,0
1,63,38,83,6,0,1,1,1,0,0,1,0
1,99,64,39,11,0,0,2,1,0,1,2,1
0,67,93,40,9,0,1,1,1,1,0,2,0
1,87,78,42,4,1,0,1,1,1,1,0,0
1,72,56,36,17,0,0,1,0,1,1,0,0
1,93,51,70,14,0,2,1,1,0,1,1,0
1,77,98,51,5,1,2,0,1,0,1,0,1
0,94,35,41,2,1,0,0,1,0,1,0,0
0,95,49,90,16,1,1,0,0,1,1,0,1
1,76,32,41,3,0,1,1,0,0,1,1,1
1,95,30,54,17,0,0,2,0,0,1,2,1
0,89,90,41,15,0,0,0,0,1,1,1,0
1,68,93,45,16,1,1,2,0,0,0,2,0
1,64,44,90,6,0,2,2,0,1,1,0,1
0,81,87,49,5,0,1,2,0,0,1,1,0
1,50,55,94,14,1,0,0,1,0,0,0,0
1,87,98,85,4,1,0,0,1,1,0,0,0
1,68,89,54,19,1,1,1,0,0,1,2,1
0,71,51,98,14,1,1,2,0,1,1,1,1
1,92,95,90,16,1,1,0,0,0,1,1,1
1,50,31,87,3,0,0,1,1,1,0,1,1
1,98,47,88,14,1,0,0,0,1,1,2,1
0,53,67,65,10,1,1,1,1,0,1,2,0
0,85,33,85,2,1,0,1,0,1,1,0,0
0,90,63,60,13,0,1,1,0,1,1,1,0
1,71,46,49,19,1,2,0,1,0,0,1,0
0,84,84,68,12,0,2,2,1,0,1,1,0
0,51,50,83,9,1,0,0,0,1,1,0,1
0,74,96,86,6,1,1,2,0,0,0,1,1
1,96,44,92,19,0,1,1,1,0,0,2,0
1,83,40,92,4,0,1,2,0,1,0,0,1
0,95,91,92,10,1,1,2,0,1,1,2,0
0,92,60,46,4,0,2,0,0,1,0,1,0
0,86,34,61,19,0,1,0,0,0,1,0,1
1,74,58,69,16,0,0,0,1,1,1,2,0
0,50,48,88,14,0,1,1,0,1,0,1,0
0,52,74,65,4,1,2,1,1,1,0,1,0
0,75,30,96,16,1,0,2,0,0,1,1,1
0,71,62,96,4,0,0,0,0,1,0,0,0
1,57,50,92,6,1,2,1,1,1,0,0,0
0,59,88,44,18,1,1,0,0,0,0,1,0
1,59,65,32,11,1,1,0,0,0,1,1,1
1,75,43,55,16,0,1,1,1,1,0,0,0
0,81,87,36,5,0,0,2,1,1,0,0,1
1,50,54,96,17,0,2,1,1,1,1,0,0
1,97,63,59,13,1,2,1,0,0,1,1,0
1,72,82,77,10,0,2,0,0,1,0,2,0
0,60,72,57,9,0,2,1,0,0,0,1,1
1,89,88,97,15,1,1,1,0,0,0,1,1
0,93,39,35,10,1,0,2,1,0,1,0,1
0,65,82,94,2,1,1,0,1,1,1,1,0
1,69,64,76,4,1,1,1,0,0,1,1,0
1,54,43,96,8,1,2,2,0,1,1,1,0
0,67,45,86,18,0,2,2,0,1,0,2,0
0,80,35,53,6,1,1,2,1,0,1,2,1
0,62,97,63,5,0,1,1,1,0,0,0,1
0,60,52,72,14,0,0,2,1,1,1,1,1
0,83,48,31,7,1,2,1,1,1,0,2,0
1,66,72,79,18,1,2,2,1,1,0,0,1
1,66,79,83,13,1,2,2,0,0,1,1,1
1,92,92,36,13,1,2,2,1,0,1,1,0
0,97,57,84,9,0,1,0,0,1,1,0,1
0,57,93,54,7,1,0,2,0,1,1,2,1
1,59,81,90,19,0,1,1,1,0,0,0,0
0,85,56,40,13,0,2,0,1,0,1,1,0
1,94,97,33,6,1,2,1,1,1,1,1,0
1,56,81,89,10,1,1,2,0,1,1,0,0
1,66,40,44,7,1,1,0,1,0,0,1,0
0,93,62,46,4,1,1,1,0,1,1,1,1
0,75,79,34,8,0,2,1,1,1,0,0,0
1,86,90,52,6,1,2,2,0,1,1,2,1
0,60,64,66,13,1,1,1,1,0,0,0,0
0,93,84,66,10,1,0,0,1,1,1,1,1
1,57,88,43,8,0,0,2,1,0,1,1,0
1,79,36,68,15,1,2,1,0,0,0,1,0
0,92,83,58,12,0,2,1,0,1,0,0,1
0,76,57,91,8,1,0,1,1,1,0,1,1
0,53,77,81,15,0,0,2,0,1,0,1,1
0,65,68,38,15,0,1,2,1,0,1,0,0
1,95,72,44,19,0,2,1,0,0,0,2,0
0,53,77,80,8,1,2,2,1,1,0,2,1
0,84,83,36,13,0,0,2,1,0,1,0,1
1,98,71,52,4,1,1,1,0,0,1,2,1
1,57,93,79,19,1,1,1,1,1,0,1,0
1,86,79,73,12,1,1,0,1,0,1,1,0
0,65,40,71,14,1,1,1,1,0,0,0,0
1,55,36,71,2,0,0,1,1,1,0,0,1
0,86,55,96,16,1,1,1,1,0,0,0,1
0,54,46,69,8,0,0,0,1,1,1,1,1
0,99,93,42,2,0,1,0,0,0,0,0,1
0,56,41,90,4,0,2,2,0,1,1,0,1
0,74,91,50,10,1,2,0,1,1,0,2,1
1,96,30,80,10,1,2,2,0,0,0,2,0
0,91,30,52,14,1,2,0,0,0,0,2,0
0,98,30,98,7,1,1,2,1,1,1,0,1
0,88,45,51,12,1,2,1,1,1,0,0,1
1,69,88,63,18,0,1,2,0,1,1,0,0
1,66,39,89,14,1,2,2,1,0,0,1,0
0,51,44,33,15,0,1,1,0,1,0,0,0
0,94,94,48,10,0,0,1,1,0,0,0,0
1,60,30,48,9,0,1,0,1,0,1,2,0
1,59,82,95,5,1,0,1,1,1,1,1,1
0,89,81,35,10,0,1,2,1,0,1,0,0
0,55,68,56,19,0,0,0,0,0,1,1,0
1,69,34,60,12,0,1,2,0,1,1,0,1
1,70,60,38,3,0,2,1,0,0,0,0,0
0,56,55,89,15,0,2,0,0,0,0,2,1
1,61,66,93,5,0,2,1,1,1,1,0,0
0,69,81,68,12,1,1,2,0,1,0,0,0
1,81,86,43,17,0,1,1,0,1,1,0,1
1,52,53,49,9,0,0,0,1,1,1,1,0
1,74,70,59,3,0,1,2,0,1,0,0,1
1,64,84,67,8,1,2,1,0,0,0,2,0
1,64,85,97,17,1,2,1,0,0,1,2,1
0,67,65,65,13,0,1,1,1,0,1,1,0
1,78,38,86,10,0,0,0,0,1,1,0,0
1,63,30,70,2,0,1,2,1,1,1,2,0
0,51,62,41,13,1,1,2,1,0,1,0,1
1,53,88,99,7,1,1,2,0,1,1,0,1
1,92,88,64,15,0,1,2,1,0,1,2,1
0,75,47,65,12,1,2,2,0,0,0,2,0
0,53,34,56,18,0,2,2,1,0,1,0,0
1,97,39,76,15,0,0,0,1,1,0,2,0
1,78,48,95,14,0,0,0,1,1,0,0,0
1,91,46,68,10,1,0,2,0,1,1,2,0
0,55,56,31,19,1,1,2,1,0,0,2,1
0,93,80,92,14,1,1,2,0,0,1,2,0
1,85,68,36,13,0,0,0,1,1,0,2,0
0,99,72,44,12,1,2,2,1,0,0,1,1
1,99,59,69,2,0,1,2,0,1,0,1,1
1,58,37,80,18,1,0,2,1,1,1,1,1
1,57,97,93,4,1,2,0,0,1,0,0,1
1,62,43,31,5,0,2,1,1,1,1,1,0
1,55,66,56,10,0,0,1,0,0,0,2,1
0,88,96,93,17,1,1,1,1,0,0,0,0
0,69,53,71,14,0,2,0,0,1,1,0,0
1,88,84,71,11,1,2,0,0,1,0,2,0
1,68,39,68,1,0,0,1,1,0,1,2,1
0,54,97,44,10,0,1,0,0,0,1,0,1
0,84,76,57,8,1,0,2,1,1,0,0,1
1,78,60,88,10,1,2,2,1,0,1,2,0
0,77,57,44,13,0,2,1,1,1,0,1,0
1,93,51,46,9,0,1,1,0,1,0,1,1
1,55,39,38,18,0,0,2,1,1,1,1,0
0,75,95,37,3,0,2,0,0,0,1,0,1
0,92,54,76,5,0,0,1,0,1,0,2,1
1,85,40,56,3,1,0,0,0,0,0,1,1
0,72,79,88,16,1,0,1,0,0,1,0,0
1,58,69,85,15,0,2,1,1,0,0,0,1
1,68,42,50,12,0,1,1,0,1,1,1,1
1,90,42,81,6,1,2,2,0,0,1,0,1
1,58,66,78,17,0,0,1,0,1,1,1,1
1,59,71,35,3,1,0,0,1,0,0,2,0
1,90,96,91,11,0,1,0,1,0,1,0,1
1,52,59,63,13,1,0,2,1,1,0,1,0
1,86,67,84,4,1,1,1,1,0,1,2,0
0,88,34,73,19,1,2,1,0,1,1,2,1
0,96,99,58,11,1,1,0,1,1,1,0,1
0,95,40,54,13,0,0,0,1,0,0,1,1
0,78,70,65,8,1,0,1,1,1,1,0,0
1,54,35,95,4,0,1,2,0,1,1,0,0
0,96,53,35,4,1,1,2,1,1,1,1,1
1,62,66,68,3,1,2,0,0,1,0,1,1
1,97,43,73,15,0,2,0,0,0,0,1,1
1,67,79,39,12,0,2,2,1,1,1,2,0
0,95,48,89,17,0,1,2,0,1,1,1,0
0,61,59,90,7,1,1,0,0,1,1,0,0
0,60,88,98,12,0,1,2,0,1,0,0,0
0,56,52,70,2,0,1,0,1,0,1,2,1
1,78,84,61,17,0,1,1,0,0,1,1,1
1,94,79,88,3,0,1,1,0,1,0,0,1
1,79,78,77,7,1,2,2,1,0,1,0,1
0,64,82,37,1,1,0,2,1,1,1,1,0
1,93,84,57,14,1,1,0,1,1,1,2,0
0,96,61,72,2,0,1,0,1,1,1,2,0
1,96,83,46,8,1,2,1,1,0,1,1,0
0,99,75,75,9,1,1,2,0,1,0,0,0
0,97,91,38,2,0,2,0,0,0,0,0,1
0,69,39,52,18,0,0,1,0,0,1,0,0
0,98,41,88,8,0,1,0,0,1,0,2,1
0,67,90,78,19,1,2,0,0,1,1,1,0
